Treatment,Rep,Species,Container,Depth,Point,pH
Acidified,1,Snail,39,3,B,7.4
Acidified,1,Snail,39,4,B,7.39
Acidified,1,Snail,39,0,C,7.51
Acidified,1,Snail,39,1,C,7.38
Acidified,1,Snail,39,2,C,7.34
Acidified,1,Snail,39,3,C,7.3
Acidified,1,Snail,39,4,C,7.3
Acidified,1,Corophium,13,0,A,7.8
Acidified,1,Corophium,13,1,A,7.68
Acidified,1,Corophium,13,2,A,7.46
Acidified,1,Corophium,13,3,A,7.31
Acidified,1,Corophium,13,4,A,7.14
Acidified,1,Corophium,13,0,B,7.66
Acidified,1,Corophium,13,1,B,7.71
Acidified,1,Corophium,13,2,B,7.62
Acidified,1,Corophium,13,3,B,7.51
Acidified,1,Corophium,13,4,B,7.47
Acidified,1,Corophium,13,0,C,7.67
Acidified,1,Corophium,13,1,C,7.6
Acidified,1,Corophium,13,2,C,7.31
Acidified,1,Corophium,13,3,C,7.11
Acidified,1,Corophium,13,4,C,6.98
Acidified,2,Snail,48,0,A,7.26
Acidified,2,Snail,48,1,A,7.16
Acidified,2,Snail,48,2,A,7.12
Acidified,2,Snail,48,3,A,7.11
Acidified,2,Snail,48,4,A,7.1
Acidified,2,Snail,48,0,B,7.39
Acidified,2,Snail,48,1,B,7.28
Acidified,2,Snail,48,2,B,7.25
Acidified,2,Snail,48,3,B,7.22
Acidified,2,Snail,48,4,B,7.23
Acidified,2,Snail,48,0,C,7.23
Acidified,2,Snail,48,1,C,7.12
Acidified,2,Snail,48,2,C,7.12
Acidified,2,Snail,48,3,C,7.1
Acidified,2,Snail,48,4,C,7.1
Acidified,2,Corophium,22,0,A,7.44
Acidified,2,Corophium,22,1,A,7.38
Acidified,2,Corophium,22,2,A,7.31
Acidified,2,Corophium,22,3,A,7.3
Acidified,2,Corophium,22,4,A,7.29
Acidified,2,Corophium,22,0,B,7.59
Acidified,2,Corophium,22,1,B,7.53
Acidified,2,Corophium,22,2,B,7.46
Acidified,2,Corophium,22,3,B,4.4
Acidified,2,Corophium,22,4,B,7.34
Acidified,2,Corophium,22,0,C,7.48
Acidified,2,Corophium,22,1,C,7.37
Acidified,2,Corophium,22,2,C,7.32
Acidified,2,Corophium,22,3,C,7.29
Acidified,2,Corophium,22,4,C,7.27
